

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
551.519  014.959  011.584: sourcing /root/.vim/bundle/vim-textobj-indent/plugin/textobj/indent.vim
553.319  000.218  000.218: sourcing /root/.vim/bundle/wildfire.vim/autoload/wildfire/triggers.vim
554.690  002.867  002.649: sourcing /root/.vim/bundle/wildfire.vim/plugin/wildfire.vim
555.247  000.243  000.243: sourcing /root/.vim/bundle/vim-litecorrect/plugin/litecorrect.vim
555.901  000.283  000.283: sourcing /root/.vim/bundle/vim-textobj-sentence/plugin/textobj/sentence.vim
557.254  000.992  000.992: sourcing /root/.vim/bundle/vim-textobj-quote/plugin/textobj/quote.vim
558.490  000.972  000.972: sourcing /root/.vim/bundle/vim-wordy/plugin/wordy.vim
559.721  000.073  000.073: sourcing /root/.vim/bundle/syntastic/plugin/syntastic/autoloclist.vim
559.877  000.059  000.059: sourcing /root/.vim/bundle/syntastic/plugin/syntastic/balloons.vim
560.030  000.057  000.057: sourcing /root/.vim/bundle/syntastic/plugin/syntastic/checker.vim
560.198  000.071  000.071: sourcing /root/.vim/bundle/syntastic/plugin/syntastic/cursor.vim
560.351  000.057  000.057: sourcing /root/.vim/bundle/syntastic/plugin/syntastic/highlighting.vim
560.504  000.058  000.058: sourcing /root/.vim/bundle/syntastic/plugin/syntastic/loclist.vim
560.656  000.056  000.056: sourcing /root/.vim/bundle/syntastic/plugin/syntastic/modemap.vim
560.807  000.056  000.056: sourcing /root/.vim/bundle/syntastic/plugin/syntastic/notifiers.vim
560.958  000.056  000.056: sourcing /root/.vim/bundle/syntastic/plugin/syntastic/registry.vim
561.113  000.059  000.059: sourcing /root/.vim/bundle/syntastic/plugin/syntastic/signs.vim
565.467  003.012  003.012: sourcing /root/.vim/bundle/syntastic/autoload/syntastic/util.vim
581.332  000.423  000.423: sourcing /root/.vim/bundle/syntastic/plugin/syntastic/autoloclist.vim
581.795  000.352  000.352: sourcing /root/.vim/bundle/syntastic/plugin/syntastic/balloons.vim
583.362  001.462  001.462: sourcing /root/.vim/bundle/syntastic/plugin/syntastic/checker.vim
583.988  000.515  000.515: sourcing /root/.vim/bundle/syntastic/plugin/syntastic/cursor.vim
584.506  000.416  000.416: sourcing /root/.vim/bundle/syntastic/plugin/syntastic/highlighting.vim
585.550  000.940  000.940: sourcing /root/.vim/bundle/syntastic/plugin/syntastic/loclist.vim
585.944  000.293  000.293: sourcing /root/.vim/bundle/syntastic/plugin/syntastic/modemap.vim
586.296  000.253  000.253: sourcing /root/.vim/bundle/syntastic/plugin/syntastic/notifiers.vim
587.430  001.035  001.035: sourcing /root/.vim/bundle/syntastic/plugin/syntastic/registry.vim
587.895  000.333  000.333: sourcing /root/.vim/bundle/syntastic/plugin/syntastic/signs.vim
594.528  033.305  024.271: sourcing /root/.vim/bundle/syntastic/plugin/syntastic.vim
602.136  007.165  007.165: sourcing /root/.vim/bundle/vim-fugitive/plugin/fugitive.vim
602.766  000.198  000.198: sourcing /root/.vim/bundle/gist-vim/plugin/gist.vim
621.638  018.567  018.567: sourcing /root/.vim/bundle/nerdcommenter/plugin/NERD_commenter.vim
622.915  000.943  000.943: sourcing /root/.vim/bundle/vim-commentary/plugin/commentary.vim
624.164  000.896  000.896: sourcing /root/.vim/bundle/tabular/plugin/Tabular.vim
624.725  000.236  000.236: sourcing /root/.vim/bundle/rainbow/plugin/rainbow_main.vim
625.686  000.232  000.232: sourcing /root/.vim/bundle/neocomplete.vim/plugin/neocomplete/buffer.vim
626.003  000.217  000.217: sourcing /root/.vim/bundle/neocomplete.vim/plugin/neocomplete/dictionary.vim
626.326  000.227  000.227: sourcing /root/.vim/bundle/neocomplete.vim/plugin/neocomplete/member.vim
626.627  000.205  000.205: sourcing /root/.vim/bundle/neocomplete.vim/plugin/neocomplete/tag.vim
627.217  000.496  000.496: sourcing /root/.vim/bundle/neocomplete.vim/plugin/neocomplete.vim
628.978  001.466  001.466: sourcing /root/.vim/bundle/neosnippet/plugin/neosnippet.vim
629.478  000.166  000.166: sourcing /root/.vim/bundle/vim-snippets/plugin/vimsnippets.vim
631.392  001.515  001.515: sourcing /root/.vim/bundle/PIV/plugin/phpfolding.vim
631.650  000.114  000.114: sourcing /root/.vim/bundle/PIV/plugin/piv.vim
632.382  000.421  000.421: sourcing /root/.vim/bundle/vim-php-namespace/plugin/phpns.vim
634.160  000.355  000.355: sourcing /root/.vim/bundle/python-mode/autoload/pymode.vim
635.644  000.061  000.061: sourcing /usr/share/vim/vim80/filetype.vim
638.092  000.055  000.055: sourcing /usr/share/vim/vim80/ftplugin.vim
643.388  000.057  000.057: sourcing /usr/share/vim/vim80/filetype.vim
645.814  000.054  000.054: sourcing /usr/share/vim/vim80/ftplugin.vim
647.256  014.572  013.990: sourcing /root/.vim/bundle/python-mode/plugin/pymode.vim
658.686  010.635  010.635: sourcing /root/.vim/bundle/emmet-vim/plugin/emmet.vim
663.036  004.019  004.019: sourcing /root/.vim/bundle/vim-rails/plugin/rails.vim
663.976  000.516  000.516: sourcing /root/.vim/bundle/rust.vim/plugin/cargo.vim
664.296  000.210  000.210: sourcing /root/.vim/bundle/rust.vim/plugin/rust.vim
676.796  012.141  012.141: sourcing /root/.vim/bundle/vim-preview/plugin/preview.vim
677.784  000.458  000.458: sourcing /root/.vim/bundle/vim-cucumber-align-pipes/plugin/cucumber-align-pipes.vim
679.431  000.411  000.411: sourcing /usr/share/vim/vim80/plugin/getscriptPlugin.vim
680.709  001.159  001.159: sourcing /usr/share/vim/vim80/plugin/gzip.vim
681.859  000.999  000.999: sourcing /usr/share/vim/vim80/plugin/logiPat.vim
682.098  000.129  000.129: sourcing /usr/share/vim/vim80/plugin/manpager.vim
682.925  000.712  000.712: sourcing /usr/share/vim/vim80/plugin/matchparen.vim
685.712  002.674  002.674: sourcing /usr/share/vim/vim80/plugin/netrwPlugin.vim
686.052  000.095  000.095: sourcing /usr/share/vim/vim80/plugin/rrhelper.vim
686.347  000.144  000.144: sourcing /usr/share/vim/vim80/plugin/spellfile.vim
687.433  000.978  000.978: sourcing /usr/share/vim/vim80/plugin/tarPlugin.vim
687.987  000.378  000.378: sourcing /usr/share/vim/vim80/plugin/tohtml.vim
689.048  000.929  000.929: sourcing /usr/share/vim/vim80/plugin/vimballPlugin.vim
690.113  000.869  000.869: sourcing /usr/share/vim/vim80/plugin/zipPlugin.vim
690.251  022.074: loading plugins
690.486  000.235: loading packages
